VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841953,-27.04160,4.29313,-21.38248,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841954,-28.04552,2.77130,-20.34028,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841952,-28.27784,5.72890,-20.47680,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841955,-29.28177,4.20707,-19.43460,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841957,-27.17225,4.61610,-33.16515,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841958,-27.94625,2.86808,-32.29606,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841956,-28.56404,5.76580,-32.09226,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841959,-29.33805,4.01777,-31.22317,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
