VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841889,-26.98464,1.82440,-20.92096,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841890,-30.02265,3.37385,-18.46949,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841888,-26.02797,5.71141,-22.19217,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841891,-29.06598,7.26086,-19.74070,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841893,-27.90202,7.39299,-32.56054,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841894,-25.74936,4.10763,-34.04798,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841892,-30.24952,4.80147,-30.23391,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841895,-28.09687,1.51610,-31.72134,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
