VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841945,-27.15483,3.74673,-21.19992,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841946,-28.50835,3.02695,-19.94681,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841944,-27.80490,5.58339,-20.84711,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841947,-29.15842,4.86361,-19.59400,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841949,-27.26347,4.73173,-32.96160,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841950,-27.88247,2.99977,-32.22844,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841948,-28.63147,5.67603,-31.88585,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841951,-29.25047,3.94407,-31.15269,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
