VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841929,-28.25662,3.13230,-20.17144,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841930,-29.02327,4.61407,-19.67728,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841928,-27.18265,4.03205,-21.20325,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841931,-27.94930,5.51382,-20.70909,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841933,-28.20720,5.43900,-32.19793,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841934,-27.26571,4.13598,-32.86375,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841932,-29.13173,4.29561,-31.26761,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841935,-28.19024,2.99258,-31.93343,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
