VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841905,-29.13621,3.39834,-19.36202,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841906,-28.86156,5.72879,-19.86557,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841904,-27.33701,2.86317,-20.85751,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841907,-27.06236,5.19362,-21.36105,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841909,-27.78477,6.03910,-32.50504,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841910,-26.83866,3.90987,-33.08058,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841908,-29.33958,4.95108,-31.03576,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841911,-28.39347,2.82185,-31.61130,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
