VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841937,-27.80052,5.56595,-20.71069,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841938,-27.08418,3.90419,-21.14079,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841936,-29.01562,4.74586,-19.56589,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841939,-28.29928,3.08409,-19.99599,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841941,-28.31259,5.50911,-32.15443,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841942,-27.22386,4.22805,-32.95013,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841940,-29.20941,4.17012,-31.22576,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841943,-28.12068,2.88906,-32.02147,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
