VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y
0, 1534549, 3.24903, -2.28125, -0.61033, 0.69804, 0.69804, 0.69804, 1.00, 0.85008, 0.83986
1, 1534550, 2.39289, -2.03653, -0.28323, 0.69804, 0.69804, 0.69804, 1.00, 0.78116, 0.81901
2, 1534551, 3.12673, -1.73064, -0.35153, 0.69804, 0.69804, 0.69804, 1.00, 0.84023, 0.79294
3, 1534552, 3.55472, -0.57931, -0.12037, 0.69804, 0.69804, 0.69804, 1.00, 0.87469, 0.69484
4, 1534553, 3.87671, -1.0391, -0.37006, 0.69804, 0.69804, 0.69804, 1.00, 0.90061, 0.73402
5, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
6, 1534554, -5.93472, 2.7966, -1.58097, 0.69804, 0.69804, 0.69804, 1.00, 0.11079, 0.40718
7, 1534555, -5.53708, 1.11418, -1.30809, 0.69804, 0.69804, 0.69804, 1.00, 0.1428, 0.55054
8, 1534556, -6.79979, -0.5446, -2.21963, 0.69804, 0.69804, 0.69804, 1.00, 0.04115, 0.69188
9, 1534557, -5.53708, 1.11418, -1.30809, 0.69804, 0.69804, 0.69804, 1.00, 0.1428, 0.55054
10, 1534558, -6.66878, -1.54663, -2.33828, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
11, 1534559, -4.566, 1.6254, -0.74203, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
12, 1534560, -6.66878, -1.54663, -2.33828, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
13, 1534561, -5.51995, -1.67779, -1.76662, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
14, 1534562, -6.33176, -2.64552, -2.44663, 0.69804, 0.69804, 0.69804, 1.00, 0.07883, 0.8709
15, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
16, 1534563, -4.566, 1.6254, -0.74203, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
17, 1534564, -4.0704, 1.32831, -0.48736, 0.69804, 0.69804, 0.69804, 1.00, 0.26086, 0.53229
18, 1534565, -5.51995, -1.67779, -1.76662, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
