VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y
0, 1534209, 3.87671, -1.0391, 0.37006, 0.69804, 0.69804, 0.69804, 1.00, 0.90061, 0.73402
1, 1534210, 3.55472, -0.57931, 0.12037, 0.69804, 0.69804, 0.69804, 1.00, 0.87469, 0.69484
2, 1534211, 3.12673, -1.73064, 0.35153, 0.69804, 0.69804, 0.69804, 1.00, 0.84023, 0.79294
3, 1534212, 2.39289, -2.03653, 0.28323, 0.69804, 0.69804, 0.69804, 1.00, 0.78116, 0.81901
4, 1534213, 3.24903, -2.28125, 0.61033, 0.69804, 0.69804, 0.69804, 1.00, 0.85008, 0.83986
5, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
6, 1534214, -5.93472, 2.7966, 1.58097, 0.69804, 0.69804, 0.69804, 1.00, 0.11079, 0.40718
7, 1534215, -6.79979, -0.5446, 2.21963, 0.69804, 0.69804, 0.69804, 1.00, 0.04115, 0.69188
8, 1534216, -5.53708, 1.11418, 1.30809, 0.69804, 0.69804, 0.69804, 1.00, 0.1428, 0.55054
9, 1534217, -6.66878, -1.54663, 2.33828, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
10, 1534218, -4.566, 1.6254, 0.74203, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
11, 1534219, -6.66878, -1.54663, 2.33828, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
12, 1534220, -5.51995, -1.67779, 1.76662, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
13, 1534221, -6.33176, -2.64552, 2.44663, 0.69804, 0.69804, 0.69804, 1.00, 0.07883, 0.8709
14, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
15, 1534222, -4.566, 1.6254, 0.74203, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
16, 1534223, -5.51995, -1.67779, 1.76662, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
17, 1534224, -4.0704, 1.32831, 0.48736, 0.69804, 0.69804, 0.69804, 1.00, 0.26086, 0.53229
18, 1534225, -4.37556, -1.27179, 1.07538, 0.69804, 0.69804, 0.69804, 1.00, 0.2363, 0.75385
19, 1534226, -4.0704, 1.32831, 0.48736, 0.69804, 0.69804, 0.69804, 1.00, 0.26086, 0.53229
20, 1534227, -3.76403, -1.51651, 0.86534, 0.69804, 0.69804, 0.69804, 1.00, 0.28553, 0.7747
21, 1534228, -2.52714, 1.40842, -0.19038, 0.69804, 0.69804, 0.69804, 1.00, 0.3851, 0.52547
22, 1534229, -3.76403, -1.51651, 0.86534, 0.69804, 0.69804, 0.69804, 1.00, 0.28553, 0.7747
23, 1534230, -2.93846, -1.73064, 0.60395, 0.69804, 0.69804, 0.69804, 1.00, 0.35199, 0.79294
24, 1534231, -3.45826, -2.00594, 0.90371, 0.69804, 0.69804, 0.69804, 1.00, 0.31014, 0.8164
25, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
26, 1534232, -2.52714, 1.40842, -0.19038, 0.69804, 0.69804, 0.69804, 1.00, 0.3851, 0.52547
27, 1534233, -2.93846, -1.73064, 0.60395, 0.69804, 0.69804, 0.69804, 1.00, 0.35199, 0.79294
28, 1534234, 0.7461, 2.58684, -0.67144, 0.69804, 0.69804, 0.69804, 1.00, 0.64859, 0.42506
29, 1534235, -0.60359, -2.22007, 0.22109, 0.69804, 0.69804, 0.69804, 1.00, 0.53994, 0.83465
30, 1534236, 0.7461, 2.58684, -0.67144, 0.69804, 0.69804, 0.69804, 1.00, 0.64859, 0.42506
