VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y, rawtex1.x, rawtex1.y
0, 1150695, -2.93846, -1.73064, 0.60395, 0.69804, 0.69804, 0.69804, 1.00, 0.38718, 0.78863, 0.38718, 0.78863
1, 1150696, -2.66328, -2.00594, 0.60933, 0.69804, 0.69804, 0.69804, 1.00, 0.4033, 0.81145, 0.4033, 0.81145
2, 1150697, -0.60359, -2.22007, 0.22109, 0.69804, 0.69804, 0.69804, 1.00, 0.52396, 0.82919, 0.52396, 0.82919
3, 1150698, -0.60489, -2.51986, -0.31653, 0.69804, 0.69804, 0.69804, 1.00, 0.52389, 0.85404, 0.52389, 0.85404
4, 1150699, -0.60359, -2.22007, 0.22109, 0.69804, 0.69804, 0.69804, 1.00, 0.52396, 0.82919, 0.52396, 0.82919
5, 1150700, 0.85978, -2.79247, -0.24697, 0.69804, 0.69804, 0.69804, 1.00, 0.60969, 0.87663, 0.60969, 0.87663
6, 1150701, 0.71119, -2.46478, 0.26679, 0.69804, 0.69804, 0.69804, 1.00, 0.60099, 0.84947, 0.60099, 0.84947
7, 1150702, 1.61751, -3.01948, -0.0284, 0.69804, 0.69804, 0.69804, 1.00, 0.65408, 0.89545, 0.65408, 0.89545
8, 1150703, 1.44502, -2.74009, 0.44526, 0.69804, 0.69804, 0.69804, 1.00, 0.64398, 0.87229, 0.64398, 0.87229
9, 1150704, 2.09389, -2.70068, -0.24015, 0.69804, 0.69804, 0.69804, 1.00, 0.68199, 0.86903, 0.68199, 0.86903
10, 1150705, 1.72021, -2.25066, 0.25427, 0.69804, 0.69804, 0.69804, 1.00, 0.6601, 0.83173, 0.6601, 0.83173
11, 1150706, 2.73319, -2.43769, -0.18837, 0.69804, 0.69804, 0.69804, 1.00, 0.71944, 0.84723, 0.71944, 0.84723
12, 1150707, 2.39289, -2.03653, 0.28323, 0.69804, 0.69804, 0.69804, 1.00, 0.69951, 0.81398, 0.69951, 0.81398
13, 1150708, 3.68693, -2.58801, 0.20922, 0.69804, 0.69804, 0.69804, 1.00, 0.77531, 0.85969, 0.77531, 0.85969
14, 1150709, 3.24903, -2.28125, 0.61033, 0.69804, 0.69804, 0.69804, 1.00, 0.74966, 0.83426, 0.74966, 0.83426
15, 1150710, 3.78303, -1.9624, -0.08641, 0.69804, 0.69804, 0.69804, 1.00, 0.78094, 0.80784, 0.78094, 0.80784
16, 1150711, 3.12673, -1.73064, 0.35153, 0.69804, 0.69804, 0.69804, 1.00, 0.7425, 0.78863, 0.7425, 0.78863
17, 1150712, 4.38616, -1.20426, -0.03913, 0.69804, 0.69804, 0.69804, 1.00, 0.81628, 0.745, 0.81628, 0.745
18, 1150713, 3.87671, -1.0391, 0.37006, 0.69804, 0.69804, 0.69804, 1.00, 0.78643, 0.73132, 0.78643, 0.73132
19, 1150714, 4.02747, -0.69205, -0.33296, 0.69804, 0.69804, 0.69804, 1.00, 0.79526, 0.70255, 0.79526, 0.70255
20, 1150715, 3.55472, -0.57931, 0.12037, 0.69804, 0.69804, 0.69804, 1.00, 0.76757, 0.69321, 0.76757, 0.69321
21, 1150716, 4.47233, -0.23101, -0.25782, 0.69804, 0.69804, 0.69804, 1.00, 0.82133, 0.66434, 0.82133, 0.66434
22, 1150717, 3.95406, -0.16545, 0.17186, 0.69804, 0.69804, 0.69804, 1.00, 0.79096, 0.65891, 0.79096, 0.65891
23, 1150718, 5.1656, 0.00347, 0.02021, 0.69804, 0.69804, 0.69804, 1.00, 0.86194, 0.64491, 0.86194, 0.64491
24, 1150719, 4.57638, 0.04504, 0.3954, 0.69804, 0.69804, 0.69804, 1.00, 0.82742, 0.64147, 0.82742, 0.64147
25, 1150720, 5.56608, 0.34743, 0.14579, 0.69804, 0.69804, 0.69804, 1.00, 0.8854, 0.6164, 0.8854, 0.6164
26, 1150721, 4.93588, 0.48643, 0.49231, 0.69804, 0.69804, 0.69804, 1.00, 0.84848, 0.60488, 0.84848, 0.60488
27, 1150722, 5.27422, 0.67076, 0.00067, 0.69804, 0.69804, 0.69804, 1.00, 0.8683, 0.58961, 0.8683, 0.58961
28, 1150723, 4.67389, 0.44901, 0.37236, 0.69804, 0.69804, 0.69804, 1.00, 0.83313, 0.60798, 0.83313, 0.60798
29, 1150724, 5.63594, 1.58047, 0.09253, 0.69804, 0.69804, 0.69804, 1.00, 0.88949, 0.51421, 0.88949, 0.51421
