VTX, IDX, rawpos.x, rawpos.y, rawpos.z, rawcolor0.x, rawcolor0.y, rawcolor0.z, rawcolor0.w, rawtex0.x, rawtex0.y
0, 1534842, 4.65387, -1.57675, -0.18154, 0.69804, 0.69804, 0.69804, 1.00, 0.90061, 0.73402
1, 1534843, 4.33188, -1.11695, 0.06815, 0.69804, 0.69804, 0.69804, 1.00, 0.87469, 0.69484
2, 1534844, 3.90389, -2.26828, -0.16301, 0.69804, 0.69804, 0.69804, 1.00, 0.84023, 0.79294
3, 1534845, 3.17006, -2.57418, -0.0947, 0.69804, 0.69804, 0.69804, 1.00, 0.78116, 0.81901
4, 1534846, 4.0262, -2.81889, -0.4218, 0.69804, 0.69804, 0.69804, 1.00, 0.85008, 0.83986
5, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
6, 1534847, -5.15755, 2.25895, -1.39244, 0.69804, 0.69804, 0.69804, 1.00, 0.11079, 0.40718
7, 1534848, -6.02262, -1.08224, -2.0311, 0.69804, 0.69804, 0.69804, 1.00, 0.04115, 0.69188
8, 1534849, -4.75992, 0.57653, -1.11957, 0.69804, 0.69804, 0.69804, 1.00, 0.1428, 0.55054
9, 1534850, -5.89162, -2.08427, -2.14976, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
10, 1534851, -3.78884, 1.08775, -0.55351, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
11, 1534852, -5.89162, -2.08427, -2.14976, 0.69804, 0.69804, 0.69804, 1.00, 0.0517, 0.77727
12, 1534853, -4.74279, -2.21543, -1.57809, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
13, 1534854, -5.5546, -3.18316, -2.2581, 0.69804, 0.69804, 0.69804, 1.00, 0.07883, 0.8709
14, --, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart, Restart
15, 1534855, -3.78884, 1.08775, -0.55351, 0.69804, 0.69804, 0.69804, 1.00, 0.22097, 0.50698
16, 1534856, -4.74279, -2.21543, -1.57809, 0.69804, 0.69804, 0.69804, 1.00, 0.14418, 0.78844
17, 1534857, -3.29324, 0.79066, -0.29883, 0.69804, 0.69804, 0.69804, 1.00, 0.26086, 0.53229
