VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841881,-30.12427,2.29261,-18.42132,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841882,-30.01093,7.34651,-19.09609,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841880,-26.25834,1.76737,-21.70593,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841883,-26.14500,6.82126,-22.38071,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841885,-26.80401,7.74580,-33.56622,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841886,-25.58828,2.81705,-34.05554,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841884,-30.47556,6.51083,-30.24890,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841887,-29.25983,1.58208,-30.73823,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
