VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841873,-30.06784,1.87343,-18.14720,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841874,-30.40536,7.85121,-18.53735,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841872,-25.53027,1.87343,-22.07281,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841875,-25.86779,7.85121,-22.46296,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841877,-28.12230,0.63518,-31.76021,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841878,-31.29755,5.21443,-29.53575,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841876,-24.86327,4.47763,-35.01818,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841879,-28.03853,9.05687,-32.79372,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
