VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841921,-28.57572,3.32450,-19.95376,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841922,-29.00905,4.87283,-19.75555,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841920,-27.42615,3.78020,-21.00029,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841923,-27.85949,5.32853,-20.80209,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841925,-28.94211,3.84128,-31.44769,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841926,-28.53514,5.32029,-31.96855,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841924,-27.78295,3.19512,-32.37679,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841927,-27.37597,4.67413,-32.89765,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
