VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841961,-29.34750,3.90675,-19.47601,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841962,-28.49416,5.65545,-20.41381,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841960,-27.94929,2.65249,-20.54252,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841963,-27.09595,4.40119,-21.48032,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841965,-28.40982,5.70099,-32.10454,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841966,-27.01161,4.44673,-33.17105,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841964,-29.26315,3.95229,-31.16674,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841967,-27.86494,2.69804,-32.23325,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
