VTX,IDX,rawpos.x,rawpos.y,rawpos.z,rawcolor0.x,rawcolor0.y,rawcolor0.z,rawcolor0.w,rawtex0.x,rawtex0.y
0,1841913,-28.79560,4.72996,-19.83726,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
1,1841914,-27.77251,5.28171,-20.78533,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
2,1841912,-28.29836,3.34110,-20.10895,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
3,1841915,-27.27527,3.89286,-21.05703,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
4,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
5,1841917,-28.80535,3.79417,-31.41457,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000
6,1841918,-28.52863,5.21276,-31.81585,1.00000,1.00000,1.00000,1.00000,1.00000,0.00000
7,1841916,-27.70199,3.32410,-32.31548,1.00000,1.00000,1.00000,1.00000,0.00000,1.00000
8,1841919,-27.42527,4.74269,-32.71676,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000
9,--,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart,Restart
